index,source,target,llama_fewshot
14,"എന്റെ ചെറിയ മകന് സമ്മാനമായി ബ്ലാക്ക് ഫ്രൈഡേയിൽ ഞാൻ ഇത് വാങ്ങി. ഞാൻ നൽകിയ വിലയ്ക്ക് ഇത് പ്രതീക്ഷിച്ചതുപോലെ പ്രവർത്തിക്കുന്നു, ചിലപ്പോൾ മരവിപ്പിക്കും, പക്ഷേ ഒരു ചെറിയ കുട്ടിക്ക് ഇത് തികഞ്ഞതാണ്.",I bought this on Black Friday as a gift for my young son. It works as expected for the price that I paid sometimes freezes but for a young child it's perfect.,"I bought this as a gift for my little boy on Black Friday. It works as expected for the price I paid, sometimes it freezes, but it's perfect for a small child."
15,ഒറിജിനലായിരുന്ന എന്റെ ആദ്യ കിണ്ടിലിനേക്കാൾ മികച്ച മെച്ചപ്പെടുത്തൽ. രാത്രിയിൽ വായിക്കുന്നതിനുള്ള ബാക്ക്ലൈറ്റ് ഇഷ്ടപ്പെടുന്നു.,Excellent improvement over my first kindle which was the original. Love the backlight for reading at night.,My original Kindle is greatly improved. I like the backlight for reading at night.
16,"എന്റെ പേരക്കുട്ടിക്ക് വേണ്ടി ഞാൻ ഈ ടാബ്‌ലെറ്റ് കൊണ്ടുവന്നു, അവൾ അവളുടെ സഹോദരന്മാരായി അഭിനയിച്ചു, അവൾക്ക് ഒന്ന് വേണമെന്ന് ഞാൻ ആഗ്രഹിക്കുന്നു",I brought this tablet for my granddaughter she played her brothers and I want her to have one,"I brought this tablet for my niece, she acted like her brothers, I wish she had one of her own."
17,"ഞാൻ ഇത് എന്റെ മകൾക്ക് വാങ്ങി, എനിക്ക് പരാതിയില്ല. എന്റെ ഐപാഡുമായി താരതമ്യപ്പെടുത്തുമ്പോൾ ഇത് അൽപ്പം മന്ദഗതിയിലാണ്, പക്ഷേ ഇത് ഒരു കുട്ടിക്ക് അനുയോജ്യമാണ്.","I bought this for my daughter and I have no complaints. It's a little slow compared to my iPad, but it's perfect for a child.","I bought this for my daughter, and I have no complaints. Compared to my iPad, it's a bit slow, but it's suitable for a child."
18,"ഇതൊരു മികച്ച വാങ്ങലാണ്. ഫയർ ടിവി കൂടുതൽ വേഗത്തിലുള്ള മെമ്മറിയാണ്, ഒരിക്കലും ചൂടാകില്ല",this is a great buy i first bought the fire stick did not like due to fact it was slower less memory and kept on overheating. the fire tv is way faster more memory and never over heats,"This is a great purchase. Fire TV has faster memory, it will never get hot."
19,പ്രിന്റ് സൈസ് വലുതാക്കി മാറ്റി - അതല്ല!!!. പുസ്തകങ്ങൾ വായിക്കുന്നതിനുള്ള വലിയ പ്രിന്റ് സൈസ് വിലമതിക്കും,Changed the print size to huge - which it is not!!!. Would appreciate the larger print size for reading books,I really don't like that the print size has been enlarged - not!!!. The large print size for reading books is worth it.
20,ടാബ്‌ലെറ്റിൽ നിങ്ങൾക്ക് സൃഷ്‌ടിക്കാൻ കഴിയുന്ന ഒരു കുട്ടികളുടെ പ്രൊഫൈൽ ഉണ്ടെന്ന് ഞാൻ ഇഷ്ടപ്പെടുന്നു. വളരെ ഉപയോക്തൃ സൗഹൃദം.,I love that there is a kids profile you can create on the tablet. Very user friendly.,I like that you can create a child profile on the tablet. Very user friendly.
21,സുഗമമായി പ്രവർത്തിക്കുന്ന നിരവധി അധിക ആപ്ലിക്കേഷനുകൾ പ്രവർത്തിപ്പിക്കുന്നതിനുള്ള മികച്ച സ്റ്റീമിംഗ് ഉപകരണമാണിത്.,"This is the best steaming device, to run many additional applications that will run smoothly.",This is a great streaming device with many easy-to-use apps that can be streamed.
22,ഇ-ബുക്കുകൾ വായിക്കുന്നതിനുള്ള ഒരു ചെറിയ ഉപകരണമാണിത്.,It's a handy little tool to have for reading e-Books.,This is a small device for reading e-books.
23,എനിക്ക് ചെറുതും പോയിന്റ് ആവശ്യമുള്ളതുമായ എന്തും കാണാൻ അനുയോജ്യമാണ്,Perfect to watch anything I need small and to the point,I like anything that is small and has a point of interest.
24,ക്രിസ്മസ് സമ്മാനമായി എനിക്ക് ഇത് ലഭിച്ചു. ഒരു യാത്രയ്‌ക്കോ ജോലിയ്‌ക്കോ ഇത് വളരെ നല്ലതാണ്. സിനിമ കാണുന്നതിനും പുസ്തകങ്ങൾ വായിക്കുന്നതിനും ഇത് വളരെ നല്ലതാണ്. സജ്ജീകരിക്കാൻ എളുപ്പമായിരുന്നു.,I received this as a Christmas present. This is great to take on a trip or to work. It is great for watching movies or reading books. It was easy to setup.,I got this as a Christmas gift. It's great for a trip or work. It's great for watching movies and reading books. It was easy to set up.
25,"ഞാൻ എന്റെ മകൾക്കായി ഒരു ""ഡോട്ട്"" വാങ്ങലിൽ ചേർത്തു, അവൾ അത് ഇഷ്ടപ്പെട്ടു! പോർട്ടബിലിറ്റിയും ചാർജ് ഫീച്ചറും അവൾ ശരിക്കും ഇഷ്ടപ്പെടുന്നു. വലിയ സമ്മാനം!","I added to a ""dot"" purchase for my daughter, and she loved it! The portability and charge feature she really likes. Great gift!","I bought the DOT for my daughter along with this, and she loves it! She really likes the portability and charging feature. What a great gift!"
26,ആർക്കും ഉപയോഗിക്കാൻ എളുപ്പമുള്ള ഒരു മികച്ച ടാബ്‌ലെറ്റാണിത്!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,This is a great tablet for anyone easy to use!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,This is a great tablet for anyone to use!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
27,"ഇത് വളരെ മികച്ച ഒരു ഉൽപ്പന്നമാണ്, അവയിൽ രണ്ടെണ്ണം എനിക്കുണ്ട്! വളരെ ശുപാർശ ചെയ്യും.",This is such a great product I have two of them! Would highly recommend.,"This is a very good product, I have two of them! Highly recommend."
28,വായിക്കാൻ പറ്റാത്തവിധം പിപിഐ വളരെ കുറവാണ്.. കിട്ടിയതിൽ ഖേദമുണ്ട്.. പകരം ഒരു ഉപയോഗിച്ച ഐപാഡ് കിട്ടണമായിരുന്നു.,PPI too low for reading.. kinda regret getting it.. should've gotten a used ipad instead.,It is very hard to find a good reading experience with the lack of good PPI... I'm disappointed with what I got... I would have rather gotten a used iPad.
29,വില നല്ലതായിരുന്നു. വായനയ്ക്ക് കൊള്ളാം. കൂടുതൽ ആപ്പുകൾ ആവശ്യമാണ്.,Price was good. Great for reading. Needs more apps.,The price was good. Worth reading. Need more apps.
30,ഈ ചെറിയ കിൻഡിൽ തീർച്ചയായും പണത്തിന് വിലയുള്ളതായിരുന്നു. വലിയ വില കാരണം ഇത് വാങ്ങാൻ ഞാൻ എന്റെ എല്ലാ സുഹൃത്തുക്കളോടും പറയും.,This little Kindle was worth the money for sure. I would tell all my friends to buy this because of the great price that it is.,This little Kindle was definitely worth the money. I will tell all my friends to buy it because of the high price.
31,മറ്റൊരു മികച്ച ആമസോൺ ഉൽപ്പന്നം. എനിക്ക് ആവശ്യമുള്ളത് ചെയ്യുന്ന ലളിതമായ ടാബ്‌ലെറ്റ്.,Another great Amazon product. Simple tablet that does what I need it to.,Another great Amazon product. It's a simple tablet that does what I need it to do.
32,"എന്റെ 3 വയസ്സുള്ള മകന് ഇത് ലഭിച്ചു. അവൻ ഇടയ്ക്കിടെ ഇത് കളിക്കുന്നു, പക്ഷേ അവനെ വിദ്യാഭ്യാസപരമായ കാര്യങ്ങൾ പരിചയപ്പെടുത്തുന്നത് നല്ലതാണ്. ചില സമയങ്ങളിൽ തകരാർ ഉണ്ടെങ്കിലും അതിന്റെ വില എത്രയാണെന്ന് പ്രതീക്ഷിക്കാം.",Got this for my 3 year old son. He plays with it every now and then but it's good for introducing him to educational things. Glitchy at times but that's to be expected with how much it cost.,"My 3-year-old son got this. He plays with it sometimes, but it's good for teaching him educational things. Sometimes it freezes, but you can expect that for the price."
33,ഈ ടാബ്‌ലെറ്റിന്റെ ഒരേയൊരു പ്രശ്നം 6 മാസത്തെ ഉപയോഗത്തിന് ശേഷം ഇത് ചാർജ് ചെയ്യുന്നത് നിർത്തി എന്നതാണ്.,My only problem with this tablet is that after 6 months of use it stopped charging.,The only problem with this tablet is that it stops charging after 6 months of use.
34,"ഒരു ഫയർ സ്റ്റിക്കിൽ നിന്ന് അപ്‌ഗ്രേഡ് ചെയ്യാൻ ആഗ്രഹിച്ചു, വളരെ വേഗത്തിൽ. നവീകരിച്ച പ്രൊസസർ, കൂടുതൽ റാം, ഇഥർനെറ്റ് എന്നിവ വലിയ മാറ്റമുണ്ടാക്കുന്നു.","Wanted to upgrade from a fire stick, so much faster. Upgraded processor, more ram, and Ethernet makes a big difference.","I upgraded from a Fire Stick to something much faster. The updated processor, more RAM, and Ethernet make a big difference."
35,ഞാന് എന്ത് പറയാനാണ്? ആമസോൺ ഫയർ ഒരു മികച്ച ടാബ്‌ലെറ്റാണ്. വില . നല്ല വലിപ്പം. ജോലി ചെയ്യുന്നു. ബെസ്റ്റ് ബൈയിൽ മികച്ച ഡീൽ,What can I say? The Amazon Fire is a great tablet . The price is fantastic . Good size . Does the job . Great deal at Best Buy,I love Amazon Fire tablet. Great value for the price. Good size. Works well. Best Buy has a great deal.
36,എനിക്ക് നിരന്തരം സിനിമകളിൽ പോകേണ്ടതില്ല എന്ന സ്നേഹം എന്റെ വിരൽത്തുമ്പിൽ പ്രവർത്തിക്കുന്നു,Love that I do not have to constantly go to the movies and having things at my fingertips works,"I don't have to go to the movies all the time, that's my love for them in my fingertips."
37,സ്‌പീക്കറിനൊപ്പം മികച്ചത് മറ്റ് ഫീച്ചറുകളിലേക്ക് നല്ല ശബ്‌ദം ചേർക്കുന്നു,Great with the speaker adds good sound to the other features,"It has a great sound with the speaker, adding to the other features."
38,പാഠപുസ്തകങ്ങൾക്ക് പകരമായി കോളേജ് വിദ്യാർത്ഥിക്ക് വാങ്ങി. നന്നായി പ്രവർത്തിക്കുന്നു!,Bought for college student as substitute for text books. Works great!,I bought this for my college student as a replacement for textbooks. It works great!
39,വിലകൂടിയ ടാബ്‌ലെറ്റുകൾക്ക് ഒരു മികച്ച ബദൽ. ബാറ്ററി വളരെക്കാലം നീണ്ടുനിൽക്കും.,A great alternative to the more expensive tablets. Battery lasts for quite a while.,A great alternative to expensive tablets. The battery lasts a long time.
40,ഇത് എന്റെ മകൾക്കുള്ള സമ്മാനമായിരുന്നു. ചില പുസ്‌തകങ്ങൾ വായിക്കുമ്പോൾ അത് പിടിക്കാൻ അവൾ ആഗ്രഹിച്ചു. വെബ് ബ്രൗസ് ചെയ്യാൻ കഴിയുന്നത് ഒരു അധിക പ്ലസ് ആയിരുന്നു.,This was a gift for my daughter. She wanted it to catch up on reading some books. Being able to browse the web was an added plus.,This was a gift for my daughter. She wanted to hold it when she was reading some books. It was a plus that she could browse the web.
41,മാനസിക വെല്ലുവിളി നേരിടുന്ന എന്റെ സഹോദരനു വേണ്ടിയാണ് ഈ ഇനം കൊണ്ടുവന്നത്. അവൻ അത് ഇഷ്ടപ്പെടുന്നു.,Brought this item for my Mentally Challenged brother. He loves it.,My brother who is struggling with mental health issues is the one I got this for. He likes it.
42,ആമസോൺ ഫയർ ടിവിയാണ് ആപ്പിൾ ടിവിയെക്കാളും നന്നായി സ്നേഹിക്കാനുള്ള ഏക മാർഗം.,Amazon fire tv the only way to go love mine better than Apple TV .,Amazon Fire TV is the only way to love better than Apple TV.
43,"എന്റെ കുട്ടികളും ഈ ടാബ്‌ലെറ്റ് ആസ്വദിക്കുന്നു, എന്നെപ്പോലെ! ഇതുവരെയുള്ള ഒരേയൊരു തകർച്ച ഏറ്റവും കുറഞ്ഞ ക്രമീകരണത്തിൽ പോലും തെളിച്ചം വളരെ മങ്ങുന്നില്ല എന്നതാണ്, അതിനാൽ എന്റെ കുട്ടികൾക്ക് ഇത് ഉപയോഗിക്കാൻ അനുവാദമില്ല. കൂടാതെ ഒരു ടൺ മെമ്മറിയും ഉപയോഗിക്കുന്നു, വാങ്ങിയതിനുശേഷം അധിക ആപ്ലിക്കേഷനുകളൊന്നും ഡൗൺലോഡ് ചെയ്തിട്ടില്ലെങ്കിലും ഇല്ലെങ്കിലും. ഫോട്ടോകൾ എടുത്തു.","My kids enjoy this tablet, as do I! The only downfall so far is the brightness does not dim very much, even on the lowest setting so my kids are not allowed to use it in be.Also uses a ton of memory, even though no additional applications have been downloaded since purchased and no photos taken.","My kids also enjoy this tablet, just like me! The only glitch I've seen is that the screen doesn't dim much even with the lowest brightness setting, so I'm not allowing my kids to use it. Plus, it uses a ton of memory, and even though I've downloaded no additional apps since purchasing it, it's still full. It takes photos."
44,ഈ ഉപകരണം വളരെ വേഗത്തിൽ സജ്ജീകരിക്കാൻ എളുപ്പമാണ് ഒപ്പം മികച്ച നിലവാരമുള്ള ചിത്രം നൽകുന്നു.,This device is easy to setup very fast and provides a great quality picture.,This device is very easy to set up quickly and also provides excellent picture quality.
45,"കൊച്ചുകുട്ടികൾക്ക് മികച്ചതാണ്, പക്ഷേ എനിക്ക് ഓട്ടിസം ബാധിച്ച 10 വയസ്സുള്ള ഒരു മകളുണ്ട്, അത് ഇത് ഇഷ്ടപ്പെടുന്നു. അവൾക്ക് സിനിമകൾ കാണാനും ഗെയിമുകൾ കളിക്കാനും അവളുടെ പ്രിയപ്പെട്ട പുസ്തകങ്ങൾ വായിക്കാനും കഴിയും.","Great for little kids but I have a 10 year old daughter with Autism that loves this. She can watch movies, play games, and READ her favorite books.","It is great for little kids, but I have an 10 year old autistic daughter who loves it. She can watch movies, play games, and read her favorite books."
46,ഈ ടാബ്‌ലെറ്റ് പ്രതീക്ഷിച്ചതുപോലെ പ്രവർത്തിക്കുന്നു. മികച്ച ബാറ്ററി ലൈഫുള്ള പുതിയ ടാബ്‌ലെറ്റ് ആവശ്യമുള്ള ആർക്കും ഞാൻ ഈ ടാബ്‌ലെറ്റ് ശുപാർശ ചെയ്യും.,This tablet works as expected. I would recommend this tablet to anyone who needs a new tablet with great battery life.,This tablet works as expected. I would recommend this tablet to anyone who needs a new tablet with a good battery life.
47,"ഈ ടാബ്ലറ്റ് എന്റെ അച്ഛന് ഒരു ക്രിസ്മസ് സമ്മാനമായിരുന്നു. ഇതിന് മികച്ച റെസലൂഷൻ ഉണ്ട്, ഉപയോഗിക്കാൻ എളുപ്പമാണ്. ആമസോൺ പ്രൈം ഉപയോഗിച്ച് നിങ്ങൾക്ക് സൗജന്യ സിനിമകളും പുസ്തകങ്ങളും ഗെയിമുകളും ലഭിക്കും. ഞാൻ വളരെ ശുപാർശ ചെയ്യും.","This tablet was a Christmas gift for my dad. It has great resolution and is easy to use. With Amazon prime you get free movies, books, and games. I would highly recommend.","This tablet was a Christmas gift for my father. It has a great resolution, easy to use. With Amazon Prime, you can get free movies, books, and games. I highly recommend it."
48,"വെബ്, വായന, ഇമെയിൽ എന്നിവയ്‌ക്കായി ഞാൻ മിക്കപ്പോഴും ടാബ്‌ലെറ്റ് ഉപയോഗിക്കുന്നു, പക്ഷേ എനിക്ക് ഒരു വേഡ് ഡോക്, പിഡിഎഫ്, ബഡ്ജറ്റ് എന്നിവയിലും മറ്റും പ്രവർത്തിക്കാൻ താൽപ്പര്യപ്പെടുമ്പോൾ, എന്റെ ലാപ്‌ടോപ്പ് പുറത്തെടുക്കാതെ തന്നെ ടാബ്‌ലെറ്റിൽ അത് നന്നായി ചെയ്യാൻ കഴിയും. സ്‌ക്രീൻ S2 മോഡലുകളെപ്പോലെ മൂർച്ചയുള്ളതല്ല, പക്ഷേ ആവശ്യത്തിന് മനോഹരമാണ്, ഇതിന് മറ്റൊന്നും ഇല്ല.","Most of the time I use the tablet for the Web, reading and email, but when I want to work on a Word doc, pdf, budget and a lot more, I can do it well on the tablet without pulling out my laptop. The screen isn't as sharp as the S2 models but is nice enough and it does not lack anything else.","I usually use a tablet for web, reading, and email, but when I want to work on a Word document, PDF, budget, and other things, I prefer to use my laptop, but I can do it well on the tablet too. The screen is not as sharp as the S2 models, but it's fine for what I need, and it's beautiful."
49,"ഈ വില പരിധിയിൽ നിങ്ങൾക്ക് വാങ്ങാൻ കഴിയുന്ന ഏറ്റവും മികച്ച ടാബ്‌ലെറ്റാണ് ഈ ടാബ്‌ലെറ്റ്. ഉപയോഗിക്കാൻ എളുപ്പമാണ്, മാന്യമായ ബാറ്ററി വിളവ്, ഇടയ്ക്കിടെയുള്ള ഉപയോഗത്തിന് നല്ലതാണ്. വാർത്തകൾ വായിക്കാനും, ഇമെയിലുകൾ വായിക്കാനും, ഇന്റർനെറ്റ് ബ്രൗസ് ചെയ്യാനും, എവിടെയായിരുന്നാലും സിനിമകൾ കാണാനും മറ്റും ഞാൻ ഇത് പ്രധാനമായും ഉപയോഗിക്കുന്നു. മൊത്തത്തിൽ, ഇത് ഒരു മികച്ച / മികച്ച ഗുണനിലവാരമുള്ള ഉൽപ്പന്നമാണ്, തോൽപ്പിക്കാനാവാത്ത വിലയിൽ, നിങ്ങൾ ഇത് വാങ്ങുന്നതിൽ തെറ്റ് പറയാനാകില്ല.","This tablet is simply the best tablet you can buy in this price range. Easy to use, decent battery yield, good for occasional use. I use it mainly to read news, read emails, browse internet, see movies on the go, etc. Overall, its a wonderful / good quality product at an unbeatable price, you can't go wrong buying it.","This tablet is the best you can buy within this price range. It's easy to use, has a decent battery life, and is great for occasional use. I mainly use it to read news, emails, browse the internet, watch movies anywhere, and more. Overall, it's a great / excellent product with great quality, unbeatable price, and you won't regret buying it."
50,$59 രൂപയുടെ വിലയ്ക്ക് നിങ്ങൾക്ക് തെറ്റ് പറ്റില്ല....,For the price tag of $59 bucks u can't go wrong....,"For $59, you can't go wrong...."
51,"തുടക്കക്കാർക്ക് ഇത് മാന്യമായ വായനക്കാരനാണ്. ബാക്ക്ലൈറ്റ് ഇല്ല, അതിനാൽ ഇരുട്ടിൽ വായിക്കാൻ നല്ലതല്ല. കൈകളിൽ നിന്നും വഴുതി വീഴുന്നു, അതിനാൽ നിങ്ങൾ അത് വാങ്ങുകയാണെങ്കിൽ ഒരു കവർ വാങ്ങുക.","Its a decent reader for beginners. There is no backlight, so not good for reading in dark. also slips from hands, so purchase a cover if you buy it.","It is a decent reader for beginners. No backlight, so it's not good for reading in the dark. It drops from hands, so if you're going to buy it, get a cover."
52,"വായനയ്‌ക്കായുള്ള സോളിഡ് യൂണിറ്റ്, ഇടയ്‌ക്കിടെയുള്ള ടിവി ഷോ അല്ലെങ്കിൽ ഗെയിമുകൾ. ഒരു പൂർണ്ണ ഫീച്ചർ ചെയ്‌ത ടാബ്‌ലെറ്റിൽ നിന്ന് വരുന്നവർ ആമസോണിന്റെ മതിലുകളുള്ള പൂന്തോട്ടത്തിന്റെ ചില പരിമിതികളിലും വൈചിത്ര്യങ്ങളിലും നിരാശരായേക്കാം, എന്നാൽ നിങ്ങൾ വിലകുറഞ്ഞ എന്തെങ്കിലും തിരയുകയാണെങ്കിൽ, അവർ അത് പറയുന്നതുപോലെ ചെയ്യുന്നു. പെട്ടി, നിങ്ങൾക്ക് തെറ്റ് പറ്റില്ല.","Solid unit for reading and the occasional TV show or game.Those coming from a full featured tablet may find themselves frustrated at some of the limitations and quirks of Amazon's walled garden, but if your are looking for something cheap they does what it says on the box, you can't go wrong.","You may be disappointed by the limitations of Amazon's solid unit, the occasional TV show or game. Those coming from a fully featured tablet may be disappointed by some of the limitations and quirks of Amazon's walled garden, but if you're looking for something cheap, they do what they say."
53,പണത്തിന് ഇത് ഒരു അത്ഭുതകരമായ ഇനമാണ്. വർഷങ്ങൾക്ക് മുമ്പുള്ള എന്റെ ആദ്യത്തെ ശാസ്ത്ര കാൽക്കുലേറ്റർ വിലകുറഞ്ഞതാണ്.,This is an amazing item for the money. Cheaper then my first scientific calculator many years ago.,This is an amazing value for the money. It's cheaper than my first scientific calculator years ago.
