index,manglish,eng,mal,gpt5_fewshot
10,ഈ tablet ലെ features price ന് young readers ന് easy choice ആക്കുന്നു,The amount of features on this tablet for the price makes it an easy pick for young readers.,ഈ ടാബ്‌ലെറ്റിലെ ഫീച്ചറുകളുടെ വില യുവ വായനക്കാർക്ക് എളുപ്പമുള്ള തിരഞ്ഞെടുപ്പാക്കി മാറ്റുന്നു.,The features on this tablet make it an easy choice for young readers at this price.
11,"ഈ tablet വളരെ well perform ചെയ്യുന്നു, sophisticated tablet വേണ്ടാത്തവർക്ക് great ആണ്, price ന് value ഉണ്ട്",This tablet performs very well. It is great for someone that does not need a sophisticated tablet. Great value for the price.,ഈ ടാബ്ലറ്റ് വളരെ നന്നായി പ്രവർത്തിക്കുന്നു. അത്യാധുനിക ടാബ്‌ലെറ്റ് ആവശ്യമില്ലാത്ത ഒരാൾക്ക് ഇത് വളരെ നല്ലതാണ്. വിലയ്ക്ക് വലിയ മൂല്യം.,This tablet performs very well. It is great for those who do not need a sophisticated tablet. It has value for the price.
12,"plane rides ൽ ഇത് great ആണ്, കാരണം extended battery life ഉം reading material നല്ല selection ഉം ഉണ്ട്",I find this product to be great on plane rides due to extended battery life and great section of reading material,വിപുലീകൃത ബാറ്ററി ലൈഫും വായനാ സാമഗ്രികളുടെ മികച്ച വിഭാഗവും കാരണം വിമാന യാത്രകളിൽ ഈ ഉൽപ്പന്നം മികച്ചതായി ഞാൻ കാണുന്നു,This is great for plane rides because of its extended battery life and good selection of reading material.
13,"Fire TV wonderful device ആണ്, Stick ഉണ്ട്, പക്ഷേ TV much better ആണ്",The Fire TV is a wonderful device. I have the Stick and I think that the TV is much better.,"ഫയർ ടിവി ഒരു അത്ഭുതകരമായ ഉപകരണമാണ്. എനിക്ക് സ്റ്റിക്ക് ഉണ്ട്, ടിവി വളരെ മികച്ചതാണെന്ന് ഞാൻ കരുതുന്നു.","Fire TV is a wonderful device. I have the stick, but the TV is much better."
14,ചിലപ്പോൾ ചെറിയ കുട്ടിയെ പോലെ Alexa എന്നെ കേൾക്കില്ല,But like a lil kid sometimes she/Alexa doesn't here me.,എന്നാൽ ഒരു കൊച്ചുകുട്ടിയെപ്പോലെ ചിലപ്പോൾ അവൾ/അലക്‌സാ എന്നെ ഇവിടെ കാണാറില്ല.,Sometimes Alexa does not listen to me like a small child.
15,ഞാനും എന്റെ son ഉം tablet love ചെയ്യുന്നു. works great ആണ്. thanks.,My son and I love the tablet. Works great! Thanks!,ഞാനും എന്റെ മകനും ടാബ്‌ലെറ്റ് ഇഷ്ടപ്പെടുന്നു. നന്നായി പ്രവർത്തിക്കുന്നു! നന്ദി!,My son and I love this tablet. It works great. Thanks.
16,"Alexa family friends ന് great gift ആണ്, always great feedback ലഭിക്കുന്നു.",alexa is a great gift have given to family and friends always a great feedback,കുടുംബത്തിനും സുഹൃത്തുക്കൾക്കും എല്ലായ്പ്പോഴും മികച്ച ഫീഡ്‌ബാക്ക് നൽകുന്ന ഒരു മികച്ച സമ്മാനമാണ് അലക്‌സ,Alexa is a great gift for family and friends and always gets great feedback.
17,"mom ന് വാങ്ങി, easy simple ആണ്, books tablet ൽ load ചെയ്യാം","Bought for my Mom, easy to use, simple and she can load all of her books onto her tablet.","എന്റെ അമ്മയ്‌ക്കായി വാങ്ങിയത്, ഉപയോഗിക്കാൻ എളുപ്പമുള്ളത്, ലളിതവും അവളുടെ എല്ലാ പുസ്‌തകങ്ങളും അവളുടെ ടാബ്‌ലെറ്റിൽ ലോഡുചെയ്യാൻ അവൾക്ക് കഴിയും.",Bought it for my mom. It is easy and simple. Books can be loaded onto the tablet.
18,ഇത് ഒരാൾക്ക് great first tablet ആണ്. വളരെ inexpensive ആണ് കൂടാതെ നിങ്ങൾക്ക് വേണ്ടതെല്ലാം ഉണ്ട്,This is a great first tablet for someone. Very inexpensive and has everything you want on it,മറ്റൊരാൾക്കുള്ള മികച്ച ആദ്യ ടാബ്‌ലെറ്റാണിത്. വളരെ ചെലവുകുറഞ്ഞതും നിങ്ങൾക്ക് ആവശ്യമുള്ളതെല്ലാം അതിലുണ്ട്,This is a great first tablet for someone. It is very inexpensive and has everything you need.
19,"background music play ചെയ്യാൻ sound quality good ആണ്, പക്ഷേ Sonos prefer ചെയ്യുന്നു, Alexa smart home control ന് useful ആണ്, Google Home പോലെ deep search ഇല്ല, decision മുമ്പ് compare ചെയ്യണം, home control വേണ്ടി suits ആണ്.","Sound quality is pretty good if you want it to play background music, but I still prefer Sonos for this purpose. Alexa is useful for controlling the widest range of smart home products, but it's not backed by Google Home's superior search intelligence, so it isn't that great for asking in-depth questions of it. There are comparisons of these products out there, so take a look before making a decision. Since I mostly wanted it for home control, it suits my need.","നിങ്ങൾക്ക് പശ്ചാത്തല സംഗീതം പ്ലേ ചെയ്യണമെങ്കിൽ ശബ്‌ദ നിലവാരം വളരെ മികച്ചതാണ്, പക്ഷേ ഈ ആവശ്യത്തിനായി ഞാൻ ഇപ്പോഴും സോനോസിനെ തിരഞ്ഞെടുക്കുന്നു. സ്‌മാർട്ട് ഹോം ഉൽപ്പന്നങ്ങളുടെ വിശാലമായ ശ്രേണി നിയന്ത്രിക്കുന്നതിന് Alexa ഉപയോഗപ്രദമാണ്, എന്നാൽ ഗൂഗിൾ ഹോമിന്റെ മികച്ച സെർച്ച് ഇന്റലിജൻസ് ഇതിന് പിന്തുണ നൽകുന്നില്ല, അതിനാൽ അതിനെ കുറിച്ച് ആഴത്തിലുള്ള ചോദ്യങ്ങൾ ചോദിക്കുന്നതിന് ഇത് അത്ര മികച്ചതല്ല. ഈ ഉൽപ്പന്നങ്ങളുടെ താരതമ്യങ്ങൾ അവിടെയുണ്ട്, അതിനാൽ ഒരു തീരുമാനമെടുക്കുന്നതിന് മുമ്പ് നോക്കുക. വീട്ടുനിയന്ത്രണത്തിനായി ഞാൻ ഇത് കൂടുതലായി ആഗ്രഹിച്ചതിനാൽ, ഇത് എന്റെ ആവശ്യത്തിന് അനുയോജ്യമാണ്.","The sound quality is good for playing background music, but I prefer Sonos. Alexa is useful for smart home control, but it does not have deep search like Google Home. You should compare before deciding. It suits home control."
20,"value beat ചെയ്യാൻ കഴിയില്ല, having one great ആണ്.",you just cant beat the value here. great having one of these,നിങ്ങൾക്ക് ഇവിടെ മൂല്യത്തെ മറികടക്കാൻ കഴിയില്ല. ഇവയിലൊന്ന് ഉള്ളത് വളരെ നല്ലതാണ്,You cannot beat the value. Having one is great.
21,"4 year old നു വാങ്ങി, Christmas gift ആയതിനാൽ ഇതുവരെ try ചെയ്തിട്ടില്ല. reviews പ്രകാരം job ചെയ്യും, price, color great ആണ്.",I BOUGHT THIS FOR MY 4YR OLD. WE HAVE NOT TRIED IT YET AS IT IS A CHRISTMAS GIFT. FROM WHAT I READ THIS WILL DO THE JOB FOR HIM. THE PRICE AND COLOR WAS GREAT.,ഞാൻ ഇത് എന്റെ 4 വയസ്സിന് വാങ്ങി. ഒരു ക്രിസ്മസ് സമ്മാനമായതിനാൽ ഞങ്ങൾ ഇതുവരെ ഇത് പരീക്ഷിച്ചിട്ടില്ല. ഞാൻ വായിച്ചതിൽ നിന്ന് ഇത് അവനു വേണ്ടിയുള്ള ജോലി ചെയ്യും. വിലയും നിറവും മികച്ചതായിരുന്നു.,"Bought it for a 4-year-old as a Christmas gift, so have not tried it yet. Based on reviews, it will do the job. Price and color are great."
22,"hands down best. nook ഉപയോഗിച്ചിരുന്നു, rarely use. kindle ൽ 5 books വായിച്ചു, smooth experience.",Hands down the best. I had a nook for years and rarely used it. I have already read 5 different books on the kindle and it's a much smoother experience.,"ഏറ്റവും മികച്ച കൈകൾ. എനിക്ക് വർഷങ്ങളോളം ഒരു മുക്ക് ഉണ്ടായിരുന്നു, അത് വളരെ അപൂർവമായി മാത്രമേ ഉപയോഗിക്കൂ. കിൻഡിൽ ഞാൻ ഇതിനകം 5 വ്യത്യസ്ത പുസ്തകങ്ങൾ വായിച്ചിട്ടുണ്ട്, ഇത് വളരെ സുഗമമായ അനുഭവമാണ്.","Hands down the best. I used a Nook but rarely used it. I have read 5 books on Kindle, smooth experience."
23,എനിക്ക് amazon fire tablet വളരെ love ആണ്. home work ഉം school ഉം ഇടയിൽ back and forth പോകുമ്പോൾ ഇത് great ആണ്.,I love the amazon fire tablet. It's great for me when I'm going back and forth between home work and school!,എനിക്ക് ആമസോൺ ഫയർ ടാബ്‌ലെറ്റ് ഇഷ്ടമാണ്. വീട്ടുജോലിക്കും സ്കൂളിനുമിടയിൽ ഞാൻ അങ്ങോട്ടും ഇങ്ങോട്ടും പോകുമ്പോൾ ഇത് എനിക്ക് വളരെ മികച്ചതാണ്!,I love my Amazon Fire tablet. It is great for going back and forth between homework and school.
24,എന്റെ wife really like ചെയ്യുന്നു. works great കൂടാതെ front & back camera ഇഷ്ടമാണ്,Wife really likes it. Works great& likes the front & back camera.,ഭാര്യക്ക് ശരിക്കും ഇഷ്ടമാണ്. മികച്ച രീതിയിൽ പ്രവർത്തിക്കുന്നു & ഫ്രണ്ട് & ബാക്ക് ക്യാമറ ഇഷ്ടപ്പെടുന്നു.,My wife really likes it. It works great and she likes the front and back camera.
25,6 years basic Kindle ഉപയോഗിച്ച ശേഷം upgrade ചെയ്തു. ഈ product ചെയ്യാൻ കഴിയുന്ന കാര്യങ്ങളിൽ ഞാൻ thrilled ആണ്. ഞാൻ avid reader ആണ്. Fire ഇത് ചെയ്യാനും other things ചെയ്യാനും അനുവദിക്കുന്നു. apps ഉം മറ്റു കാര്യങ്ങളും ഇപ്പോഴും explore ചെയ്യുന്നു. user manual ഉണ്ടായിരുന്നെങ്കിൽ നല്ലതായിരുന്നു,"After having a basic Kindle for 6 years, I moved up. I am thrilled with all this product can do. I am an avid reader. The Fire let's me do that and lots of other things. I am still finding apps, and other things it will do. I know this sounds ""old fashioned"", but it would be great to have a user's manual! Thanks for asking.","6 വർഷത്തെ അടിസ്ഥാന കിൻഡിൽ കഴിച്ച ശേഷം ഞാൻ മുകളിലേക്ക് നീങ്ങി. ഈ ഉൽപ്പന്നത്തിന് ചെയ്യാൻ കഴിയുന്ന എല്ലാ കാര്യങ്ങളിലും ഞാൻ ആവേശഭരിതനാണ്. ഞാനൊരു തീക്ഷ്ണ വായനക്കാരനാണ്. അതും മറ്റ് പല കാര്യങ്ങളും ചെയ്യാൻ അഗ്നി എന്നെ അനുവദിക്കുന്നു. ഞാൻ ഇപ്പോഴും ആപ്പുകളും മറ്റ് കാര്യങ്ങളും കണ്ടെത്തുകയാണ്. ഇത് ""പഴയ രീതി"" ആണെന്ന് എനിക്കറിയാം, പക്ഷേ ഒരു ഉപയോക്തൃ മാനുവൽ ഉണ്ടായിരിക്കുന്നത് വളരെ മികച്ചതായിരിക്കും! ചോദിച്ചതിനു നന്ദി.",Upgraded after using a basic Kindle for 6 years. I am thrilled with what this product can do. I am an avid reader. Fire allows me to do this and other things. I am still exploring apps and other features. It would have been better if there was a user manual.
26,"little tweaking കൊണ്ട് Playstore install ചെയ്യാം without rooting, great tablet ആണ്, excellent color, fast, battery long lasting.","With a little tweaking you can install Playstore without rooting. It's a great tablet, excellent color, fast, and battery lasts a very long time.","ഒരു ചെറിയ ട്വീക്കിംഗ് ഉപയോഗിച്ച് നിങ്ങൾക്ക് റൂട്ട് ചെയ്യാതെ തന്നെ പ്ലേസ്റ്റോർ ഇൻസ്റ്റാൾ ചെയ്യാൻ കഴിയും. ഇതൊരു മികച്ച ടാബ്‌ലെറ്റാണ്, മികച്ച നിറം, വേഗതയേറിയതാണ്, ബാറ്ററി വളരെക്കാലം നിലനിൽക്കും.","With a little tweaking, Play Store can be installed without rooting. It is a great tablet with excellent color, fast performance, and long battery life."
27,register ചെയ്യാനും work ചെയ്യാനും പല problems ഉണ്ടായി. Best Buy Amazon internet provider customer service help ചെയ്തെങ്കിലും result ഇല്ല.,"Had all kinds of problems in registering it and getting it to work Had Customer service from Best Buy, Amazon and my internet provider trying to help, but to no avail.","ഇത് രജിസ്റ്റർ ചെയ്യുന്നതിലും അത് പ്രവർത്തനക്ഷമമാക്കുന്നതിലും എല്ലാ തരത്തിലുമുള്ള പ്രശ്‌നങ്ങളും ഉണ്ടായിരുന്നു, ബെസ്റ്റ് ബൈ, ആമസോണിൽ നിന്നും എന്റെ ഇന്റർനെറ്റ് ദാതാവിൽ നിന്നും ഉപഭോക്തൃ സേവനം ഉണ്ടായിരുന്നു, പക്ഷേ ഫലമുണ്ടായില്ല.","Had many problems registering and getting it to work. Even with help from Best Buy, Amazon, internet provider, and customer service, there was no result."
28,"ഞങ്ങളുടെ granddaughter ന് reading ഇഷ്ടമാണ്, എന്റെ wife നും ഒരെണ്ണം ഉണ്ട്, അതിനാൽ ഇത് perfect gift ആണെന്ന് ഞങ്ങൾ thought ചെയ്തു.",our granddaughter loves to read and my wife has one also so we thought this would be a perfect gift for her.,"ഞങ്ങളുടെ ചെറുമകൾക്ക് വായിക്കാൻ ഇഷ്ടമാണ്, എന്റെ ഭാര്യക്കും ഒരെണ്ണം ഉണ്ട്, അതിനാൽ ഇത് അവൾക്ക് ഒരു മികച്ച സമ്മാനമാണെന്ന് ഞങ്ങൾ കരുതി.","Our granddaughter loves reading, and my wife also has one, so we thought this would be a perfect gift."
29,"very easy light ആണ്, backlight real paper പോലെ ആണ്, bed ൽ reading ന് best friend ആണ്.","it's very easy and light to use and the back light is very similar to real paper, so it's my best friend anywhere especially in bed before falling a sleep","ഇത് ഉപയോഗിക്കാൻ വളരെ എളുപ്പവും ഭാരം കുറഞ്ഞതുമാണ്, കൂടാതെ ബാക്ക് ലൈറ്റ് യഥാർത്ഥ പേപ്പറുമായി വളരെ സാമ്യമുള്ളതാണ്, അതിനാൽ എവിടെയും ഉറങ്ങുന്നതിനുമുമ്പ് ഇത് എന്റെ ഏറ്റവും നല്ല സുഹൃത്താണ്.",It is very easy and light. The backlight is like real paper. It is the best friend for reading in bed.
30,"use ചെയ്യാൻ easy ആണ്, lots of features ഉണ്ട്, kids interested ആയി നിർത്തുന്നു, good beginner tablet unit ആണ്","Easy to use, lots of features, keeps kids interested, good beginner tablet unit","ഉപയോഗിക്കാൻ എളുപ്പമാണ്, ധാരാളം സവിശേഷതകൾ, കുട്ടികൾക്ക് താൽപ്പര്യം നിലനിർത്തുന്നു, നല്ല തുടക്കക്കാരനായ ടാബ്‌ലെറ്റ് യൂണിറ്റ്","It is easy to use, has lots of features, keeps kids interested, and is a good beginner tablet."
31,"speaker functionality great ആണ്, sound good ആണ്.","The functionality of the speaker is great, sound is good.","സ്പീക്കറിന്റെ പ്രവർത്തനം മികച്ചതാണ്, ശബ്ദം നല്ലതാണ്.",Speaker functionality is great and the sound is good.
32,"TV streaming ന് best device ആണ്, Fire TV stick നേക്കാൾ expensive ആണ്, പക്ഷേ faster processor expandable memory കാരണം recommend ചെയ്യുന്നു",This is the best device to stream to your tv with all the apps available. It costs more than the firetv stick but I recommend it because of the quicker processor and expandable memory.,"ലഭ്യമായ എല്ലാ ആപ്പുകളും ഉപയോഗിച്ച് നിങ്ങളുടെ ടിവിയിലേക്ക് സ്ട്രീം ചെയ്യുന്നതിനുള്ള മികച്ച ഉപകരണമാണിത്. ഫയർ ടിവി സ്റ്റിക്കിനെക്കാൾ വില കൂടുതലാണ്, എന്നാൽ വേഗത്തിലുള്ള പ്രോസസറും വികസിപ്പിക്കാവുന്ന മെമ്മറിയും കാരണം ഞാൻ ഇത് ശുപാർശ ചെയ്യുന്നു.","This is the best device for TV streaming. It is more expensive than the Fire TV Stick, but I recommend it because of the faster processor and expandable memory."
33,എന്റെ husband ഇത് love ചെയ്യുന്നു. Alexa യോട് music play ചെയ്യാനും jokes പറയാനും ഇഷ്ടമാണ്.,My husband loves it!! He likes telling Alexa to play music and to tell jokes,എന്റെ ഭർത്താവ് ഇത് ഇഷ്ടപ്പെടുന്നു !! അലക്സയോട് സംഗീതം കളിക്കാനും തമാശകൾ പറയാനും അവൻ ഇഷ്ടപ്പെടുന്നു,My husband loves it. He likes playing music and asking Alexa to tell jokes.
34,"CNN Travel channel load ആവുന്നില്ല, DirectNOW 200MB speed ഉണ്ടെങ്കിലും, Google WiFi router ഉണ്ടെങ്കിലും, cable better എന്ന് തീരുമാനിച്ചു.",Does not load up CNN or Travel channel.I even have DirectNOW for $50 a month and 200 MB internet speed. And the new google wifi router.I give up and will just go back to regular cable and pay the extra - for less hassle. Cable/Satellite WINS.,CNN അല്ലെങ്കിൽ Travel ചാനൽ ലോഡുചെയ്യുന്നില്ല. എനിക്ക് ഒരു മാസം $50 നും 200 MB ഇന്റർനെറ്റ് വേഗതയ്ക്കും DirectNOW ഉണ്ട്. പുതിയ ഗൂഗിൾ വൈഫൈ റൂട്ടറും. കേബിൾ/സാറ്റലൈറ്റ് വിജയിക്കുന്നു.,"CNN Travel channel does not load, even with DirectNOW 200MB speed and Google WiFi router. Decided cable is better."
35,"surfing shopping ന് great ആണ്, price beat ചെയ്യാൻ കഴിയില്ല",Great for surfing and shopping! Can't beat the price!,സർഫിംഗിനും ഷോപ്പിംഗിനും മികച്ചത്! വിലയെ മറികടക്കാൻ കഴിയില്ല!,It is great for surfing and shopping. You cannot beat the price.
36,"ഇത് എന്റെ wife നായി gift ആയിരുന്നു, അവൾ absolutely love ചെയ്യുന്നു",This was a gift for my wife and she absolutely loves it,"ഇത് എന്റെ ഭാര്യയ്‌ക്കുള്ള സമ്മാനമായിരുന്നു, അവൾ ഇത് തികച്ചും ഇഷ്ടപ്പെടുന്നു",This was a gift for my wife and she absolutely loves it.
37,"great product ആണ്, day, night ഇരുവേളയും eyes friendly.",Great product! Easy on the eyes in the day or night.,മികച്ച ഉൽപ്പന്നം! പകലോ രാത്രിയോ കണ്ണുകൾക്ക് എളുപ്പമാണ്.,It is a great product and is easy on the eyes both day and night.
38,old Kindle broke. Paperwhite improvements ഇഷ്ടമാണ്. full touch screen ആണ്,Old kindle broke. I love the improvements of the paperwhite. It is all touch screen. The old was not.,പഴയ കിൻഡിൽ തകർന്നു. പേപ്പർ വൈറ്റിന്റെ മെച്ചപ്പെടുത്തലുകൾ ഞാൻ ഇഷ്ടപ്പെടുന്നു. അതെല്ലാം ടച്ച് സ്‌ക്രീൻ ആണ്. പഴയത് അങ്ങനെയായിരുന്നില്ല.,My old Kindle broke. I like the Paperwhite improvements. It has a full touchscreen.
39,ഈ device TV content കൊണ്ടുവരാൻ great ആണ്. Ethernet USB micro SD slots ഉണ്ട്.,"This device is great for bringing in content to your tv. This device has a wired Ethernet port, USB and a micro SD card slot.","നിങ്ങളുടെ ടിവിയിലേക്ക് ഉള്ളടക്കം കൊണ്ടുവരാൻ ഈ ഉപകരണം മികച്ചതാണ്. ഈ ഉപകരണത്തിന് വയർഡ് ഇഥർനെറ്റ് പോർട്ട്, യുഎസ്ബി, മൈക്രോ എസ്ഡി കാർഡ് സ്ലോട്ട് എന്നിവയുണ്ട്.","This device is great for bringing TV content. It has Ethernet, USB, and micro SD slots."
40,"Google പോലെ anything ചോദിക്കാമെന്ന് കരുതി. എല്ലാം program ചെയ്യണം, ഇപ്പോൾ limited ആണ്. പക്ഷേ still cool ആണ്.","I guess I thought you could ask it anything kinda like Google. You have to program everything it does,pretty limited right now. But still pretty cool","ഗൂഗിൾ പോലെ എന്തും ചോദിക്കാമെന്ന് ഞാൻ കരുതി. നിങ്ങൾ അത് ചെയ്യുന്നതെല്ലാം പ്രോഗ്രാം ചെയ്യണം, ഇപ്പോൾ വളരെ പരിമിതമാണ്. പക്ഷേ ഇപ്പോഴും നല്ല തണുപ്പാണ്","I thought I could ask anything like Google. Everything has to be programmed and is currently limited, but still cool."
