text,transliterated,translated_text
appo raja inte anniyan prithviraj avide,അപ്പോ രജ ഇന്തേ അന്നിയന് പ്രിഥ്വിരജ് അവിദേ,Apo Raja Inte Anniyan Prithviraj Avide
1000 cr movie god f u c m,൧൦൦൦ ച്ര് മോവിഏ ഗോദ് f് ഉ ച് മ്,पाक्षा च्र मोविया गोध फुम्
ഈ ഡയലോഗ് മറ്റ് ലാംഗ്വേജ് കളിലേക് ഡബ്ബ് ചെയ്യുമ്പോ എങ്ങനെ യിരിക്കും അല്ലെ,ഈ ഡയലോഗ് മറ്റ് ലാംഗ്വേജ് കളിലേക് ഡബ്ബ് ചെയ്യുമ്പോ എങ്ങനെ യിരിക്കും അല്ലെ,How about dubbing this dialogue into other languages?
ittichante vaka oru sample vedikettu koodi,ഇത്തിചന്തേ വക ഓരു സമ്പ്ലേ വേദികേത്തു കൂദി,This is the reason why Oru Sampla has come to the stage.
teaser kandu ee songum kandu ellarum ithokke kandittu avarku oru samshayam ee mamangathil unniyettan unni mukundan ano nayakan ennuuu enthayalum unniyettante aa mass kanan vendii kattaa waiting kandavellam parayunnu unniyettan kolaamassaa mamangathil ennuuuu unniyettan istam unniyettane istam ollavar like adikan marakalle,തേഅസേര് കന്ദു ഈ സോന്ഗുമ് കന്ദു ഏല്ലരുമ് ഇഥോക്കേ കന്ദിത്തു അവര്കു ഓരു സമ്ശയമ് ഈ മമന്ഗഥില് ഉന്നിയേത്തന് ഉന്നി മുകുന്ദന് അനോ നയകന് ഏന്നൂഉ ഏന്ഥയലുമ് ഉന്നിയേത്തന്തേ ആ മസ്സ് കനന് വേന്ദീ കത്താ വൈതിന്ഗ് കന്ദവേല്ലമ് പരയുന്നു ഉന്നിയേത്തന് കോലാമസ്സാ മമന്ഗഥില് ഏന്നൂഊ ഉന്നിയേത്തന് ഇസ്തമ് ഉന്നിയേത്തനേ ഇസ്തമ് ഓല്ലവര് ലികേ അദികന് മരകല്ലേ,Te Aser Kandu Ee Songum Kandu Ellarum Ithoke Kandithu Avarukku Oru Samshayam Ee Mamangamathil Unniyethen Unni Mukundan Ano Nayakan Ennu Enthayilum Unniyethante Aa Mass Kanan Vendi Katha Vaithing Kandavellum Parayithan Unniyethen Kolamassa Mamangamathil Ennu Unniyethen Istam Unniyethen Istam Ollavar Like Adikan Marakallam
ആരോ ഒരാളല്ല നമ്മുടെ ഏട്ടൻ ബിഗ് ബ്രദർ,ആരോ ഒരാളല്ല നമ്മുടെ ഏട്ടൻ ബിഗ് ബ്രദർ,No one is our big brother.
sajeev pilla enna samvidhayakante kanneerinte vilayaanu ee sinima chathi,സജീവ് പില്ല ഏന്ന സമ്വിധയകന്തേ കന്നീരിന്തേ വിലയാനു ഈ സിനിമ ചഥി,The film was directed by Sajeev Pilla.
മിഥുൻ എല്ലതരം സിനിമയും ചെയ്യുന്ന ഒരു മികച്ച സംവിധായകൻ ആണ് ആട് വേറേ ലെവൽ,മിഥുൻ എല്ലതരം സിനിമയും ചെയ്യുന്ന ഒരു മികച്ച സംവിധായകൻ ആണ് ആട് വേറേ ലെവൽ,Midhun is a brilliant director who does all kinds of cinema.
super padam cute song ellarum poli acting dislike adicha kann adich pottikkum bonney parayan paranju,സുപേര് പദമ് ചുതേ സോന്ഗ് ഏല്ലരുമ് പോലി അച്തിന്ഗ് ദിസ്ലികേ അദിച കന്ന് അദിച് പോത്തിക്കുമ് ബോന്നേയ് പരയന് പരന്ജു,Supair padam chuthe song ellarum poli achthinge dislike adicha kannu adich pothikum bonnei parayan paranju
ദൈവമേ 1 മില്യ൯ ഒറ്റപേര് മോഹ൯ലാൽ,ദൈവമേ ൧ മില്യ൯ ഒറ്റപേര് മോഹ൯ലാൽ,oh my god 1 million only one mohanlal
padam average filim mathrameyullu fansukar pokkiparayunna rasamonnum padathinnillaa,പദമ് അവേരഗേ fിലിമ് മഥ്രമേയുല്ലു fന്സുകര് പോക്കിപരയുന്ന രസമോന്നുമ് പദഥിന്നില്ലാ,The word Avarege film mathrameyullu is not a fun word for fans.
ഇക്ക ഫാൻ ആണ് കുറച്ച് വർഷങ്ങളായി ലാലേട്ടന്റെ ഒരു പടത്തിനു കാത്തുനിൽക്കുന്നത് ഇല്ലാത്തത് പക്ഷെ ഇതങ്ങോട്ട് ബോധിച്ചു സംഭവം കളറായിട്ടുണ്ട് ഈ ഓണം ഇട്ടിമാണിക്ക് സ്വന്തം എന്ന് പ്രതീക്ഷിക്കുന്നു ഓണാശംസകൾ,ഇക്ക ഫാൻ ആണ് കുറച്ച് വർഷങ്ങളായി ലാലേട്ടന്റെ ഒരു പടത്തിനു കാത്തുനിൽക്കുന്നത് ഇല്ലാത്തത് പക്ഷെ ഇതങ്ങോട്ട് ബോധിച്ചു സംഭവം കളറായിട്ടുണ്ട് ഈ ഓണം ഇട്ടിമാണിക്ക് സ്വന്തം എന്ന് പ്രതീക്ഷിക്കുന്നു ഓണാശംസകൾ,Ika Fan has not been waiting for a Lalettan film for a few years now but here's hoping that this Onam will be special for Ittymaani.
its tune like piso 21 mami,ഇത്സ് തുനേ ലികേ പിസോ ൨൧ മമി,It's Tune Like Piso 21 Mummy
lalettante adutha 100 kodi ithayirikkumodiyan enthaaa sheriyalle,ലലേത്തന്തേ അദുഥ ൧൦൦ കോദി ഇഥയിരിക്കുമോദിയന് ഏന്ഥാഅ ശേരിയല്ലേ,laletanthe adutha 100 kodi ethayirukumodiyan enthaaaa sheriyil na?
super manju mam yuu looks promising love from tamilnadu,സുപേര് മന്ജു മമ് യൂ ലൂക്സ് പ്രോമിസിന്ഗ് ലോവേ f്രോമ് തമില്നദു,Super Manju Mum You Looks Promising Lowe from Tamil Nadu
വെറുതെ ഒരു കാര്യവും ഇല്ലാതെ ഈ ചിത്രത്തിനെ നശിപ്പിക്കാൻ നോക്കുന്നവർ വെറുതെയല്ല വെട്ടും ഭയം കൊണ്ടുമാത്രമാണ് ഞാൻ ഒരു മമ്മുക്ക ആരാധകൻ അല്ല പക്ഷേ പറയാതെ വയ്യ,വെറുതെ ഒരു കാര്യവും ഇല്ലാതെ ഈ ചിത്രത്തിനെ നശിപ്പിക്കാൻ നോക്കുന്നവർ വെറുതെയല്ല വെട്ടും ഭയം കൊണ്ടുമാത്രമാണ് ഞാൻ ഒരു മമ്മുക്ക ആരാധകൻ അല്ല പക്ഷേ പറയാതെ വയ്യ,"I am not a Mammookka fan, but needless to say, those who are trying to spoil this film for nothing are just scared."
nivin pauly best film is kayankulam kochunni,നിവിന് പൌല്യ് ബേസ്ത് fില്മ് ഇസ് കയന്കുലമ് കോചുന്നി,Nivin Pauly Best Film Is Kayankulam Kochunni
oru rakshayilla mass trailer mammookka,ഓരു രക്ശയില്ല മസ്സ് ത്രൈലേര് മമ്മൂക്ക,Oru Raksha Nalla Mass Thriller Mammookka
മാർഗംകളി പാട്ടിന്റെ ഷൂട്ട് ഞങ്ങളുടെ ചങ്ങരംകുളത്തായിരുന്നന്ന് ആർകൊക്കെ അറിയാം,മാർഗംകളി പാട്ടിന്റെ ഷൂട്ട് ഞങ്ങളുടെ ചങ്ങരംകുളത്തായിരുന്നന്ന് ആർകൊക്കെ അറിയാം,Who knows that the Margamkali song was shot in our Changaramkulam.
lalettan polichu adukki oru rakshyum illaa,ലലേത്തന് പോലിചു അദുക്കി ഓരു രക്ശ്യുമ് ഇല്ലാ,Lalettan Polichu Adukki Oru Rakshyam Illai.
ithu polikkum njangalu trissur kkarude padamaa ellavarum poyi kandu polichadakku,ഇഥു പോലിക്കുമ് ന്ജന്ഗലു ത്രിസ്സുര് ക്കരുദേ പദമാ ഏല്ലവരുമ് പോയി കന്ദു പോലിചദക്കു,"Ithu Polikkum Njangalum Thrissurukkurude Padam, everyone should go and see Kandu Polikkadu."
srk fan movie poly ano,സ്ര്ക് fന് മോവിഏ പോല്യ് അനോ,srk fn movie poli anno
എന്റമ്മോ ഈ അസുരൻ പലതും അടിച്ചു തകർത്തിട്ടെ കളം വിടു എന്ന് തോന്നുന്നു,എന്റമ്മോ ഈ അസുരൻ പലതും അടിച്ചു തകർത്തിട്ടെ കളം വിടു എന്ന് തോന്നുന്നു,"Entummo, this demon seems to be breaking many things."
troll ഉണ്ടാക്കിയവർ 2019 january തൊട്ടു december വരെ റീലിസ് ആയ 12 pattukal കണ്ടിട്ട് ഈ പാട്ട് കണ്ട് നോക്കണം അപ്പൊ അറിയാം വ്യത്യാസം,ത്രോല്ല് ഉണ്ടാക്കിയവർ ൨൦൧൯ ജനുഅര്യ് തൊട്ടു ദേചേമ്ബേര് വരെ റീലിസ് ആയ ൧൨ പത്തുകല് കണ്ടിട്ട് ഈ പാട്ട് കണ്ട് നോക്കണം അപ്പൊ അറിയാം വ്യത്യാസം,"The makers of Throll should check out this song by looking at the eighty-eight songs that have been released from January to December, so you know the difference."
ഷ൪ട്ട് ഊരി അഭിനയിക്കാൻ പറ്റാത്ത പ്രമുഖ നടന്റെ fans കരയുന്നതു coment boxil കാണാതെ പോവരുത് പൂജപ്പുര നിവാസികൾ,ഷ൪ട്ട് ഊരി അഭിനയിക്കാൻ പറ്റാത്ത പ്രമുഖ നടന്റെ fന്സ് കരയുന്നതു ചോമേന്ത് ബോക്ഷില് കാണാതെ പോവരുത് പൂജപ്പുര നിവാസികൾ,"The fans of the leading actor, who cannot take off his shirt and act, should not be seen crying in the box."
കളിയാക്കുമെന്നു ഉറപ്പുണ്ടായിട്ടും ചെയ്യാൻ മനസ്സു കാണിച്ച ഇക്കാക് സല്യൂട്ട്,കളിയാക്കുമെന്നു ഉറപ്പുണ്ടായിട്ടും ചെയ്യാൻ മനസ്സു കാണിച്ച ഇക്കാക് സല്യൂട്ട്,The ikak salute that he was willing to do despite the promise of making fun of it
ഇതൊരു നാട്ടുരാജാവ് style ആർക്കൊക്കെ തോന്നി,ഇതൊരു നാട്ടുരാജാവ് സ്ത്യ്ലേ ആർക്കൊക്കെ തോന്നി,Who would have thought that this was a native king's stele?
mass ne eru pereyulloo athane ikka,മസ്സ് നേ ഏരു പേരേയുല്ലൂ അഥനേ ഇക്ക,Masse ne eru pereyullu aathane ikka
kochi polee tirssur gundakaludee place aakuoo cinemakarrr trailer kollam,കോചി പോലീ തിര്സ്സുര് ഗുന്ദകലുദീ പ്ലചേ ആകുഊ ചിനേമകര്ര്ര് ത്രൈലേര് കോല്ലമ്,Kochi Police Thirssur Gundakaludi Plache Aaku Cinemakrrr Thriller Kollam
ambili kandavroke onnu like adiche kanaathavar onnu kanade povalle nashtaman,അമ്ബിലി കന്ദവ്രോകേ ഓന്നു ലികേ അദിചേ കനാഥവര് ഓന്നു കനദേ പോവല്ലേ നശ്തമന്,Ambili kandavroke onnu likhe aadiche kanathavaru onnu kanade povalle nashataman
reapettt mode on enne ividenn arenkhillum onn kondopoko,രേഅപേത്ത്ത് മോദേ ഓന് ഏന്നേ ഇവിദേന്ന് അരേന്ഖില്ലുമ് ഓന്ന് കോന്ദോപോകോ,Reapet Modhe Onne Evinne Arenkhillum Onne Kondopoko
oru ghum illaa,ഓരു ഘുമ് ഇല്ലാ,Oru Ghum Nahi
lalettan aka ittymaani super duper fantastic bombastic superlastic,ലലേത്തന് അക ഇത്ത്യ്മാനി സുപേര് ദുപേര് fന്തസ്തിച് ബോമ്ബസ്തിച് സുപേര്ലസ്തിച്,Lalettan aka ittymani super duper funtastich bombastich superlastic
എന്റെ പൊന്നു ജോജോ നുമ്മ കട്ട waiting സംഭവം പൊളിച്ചു ഇപ്പൊ മ്മടെ മലയാള സിനിമ വേറെ ലെവലാണ്,എന്റെ പൊന്നു ജോജോ നുമ്മ കട്ട വൈതിന്ഗ് സംഭവം പൊളിച്ചു ഇപ്പൊ മ്മടെ മലയാള സിനിമ വേറെ ലെവലാണ്,"Mere ponnu jojo numma katta vaithinge incident kolichu, now Malayalam cinema is on a different level."
oru onnuonnara adaru team combination analloo,ഓരു ഓന്നുഓന്നര അദരു തേഅമ് ചോമ്ബിനതിഓന് അനല്ലൂ,Oru Onnu Ondara Adaru Them Chombinathiyon Anallu
അടിപൊളി ഇത് തകർക്കും ഓണം വരെ കാത്തിരിക്കാനും റാണിയെ കാണാനും royal mech is waiting,അടിപൊളി ഇത് തകർക്കും ഓണം വരെ കാത്തിരിക്കാനും റാണിയെ കാണാനും രോയല് മേച് ഇസ് വൈതിന്ഗ്,"This will break the jinx. To wait till Onam and meet the queen, Royal match is waiting."
mammooty linto kurian ajai vasudev swag ka baap,മമ്മൂത്യ് ലിന്തോ കുരിഅന് അജൈ വസുദേവ് സ്വഗ് ക ബാപ്,"Mammootty, Linto Kurian, Ajay Vasudev, Swag Ka Baap"
ഞാൻ പറയുക ആണെങ്കിൽ ഉണ്ണി mugundhan അത് എടുത്തിട്ടുണ്ട് മിണ്ടാതെ ഇരിക്ക കള്ളൻ ഒന്നും അറിയാത്ത പോലെ ഗൊച്ചു ഗള്ളൻ,ഞാൻ പറയുക ആണെങ്കിൽ ഉണ്ണി മുഗുന്ധന് അത് എടുത്തിട്ടുണ്ട് മിണ്ടാതെ ഇരിക്ക കള്ളൻ ഒന്നും അറിയാത്ത പോലെ ഗൊച്ചു ഗള്ളൻ,"If I say, Unni Mugundan has taken it, shut up, the thief is like a goochu gullan who doesn't know anything."
age in reverse gear ennu parayunnath verthe alla ikkaa,അഗേ ഇന് രേവേര്സേ ഗേഅര് ഏന്നു പരയുന്നഥ് വേര്ഥേ അല്ല ഇക്കാ,Aage in reverse gear ainu parayunth varthe nahi ikka
മൂക്കുത്തി ഒഴികെ ബാക്കി എല്ലാം കണ്ട നമ്മൾ,മൂക്കുത്തി ഒഴികെ ബാക്കി എല്ലാം കണ്ട നമ്മൾ,We have seen everything except the nose ring.
മമ്മൂക്കയുടെ ഡയലോഗ് വീണ്ടും വീണ്ടുവീണ്ടും കേൾക്കാൻ വരുന്നവർ ലൈക് ചെയ്യ്,മമ്മൂക്കയുടെ ഡയലോഗ് വീണ്ടും വീണ്ടുവീണ്ടും കേൾക്കാൻ വരുന്നവർ ലൈക് ചെയ്യ്,Listen to Mammookka's dialogue again and again.
ഇക്കാ ഫാൻസിന്റെ വക വിജയാശംസകൾ നേരുന്നു ഞാനൊരു ഇക്കാ ഫാൻ ആണ് എനിക്ക് ഒരു 100ലൈക് തരാമോ ഏട്ടൻ ഫാൻസ്,ഇക്കാ ഫാൻസിന്റെ വക വിജയാശംസകൾ നേരുന്നു ഞാനൊരു ഇക്കാ ഫാൻ ആണ് എനിക്ക് ഒരു ൧൦൦ലൈക് തരാമോ ഏട്ടൻ ഫാൻസ്,Ikka fans congratulations Ikka fans I am an Ikka fan can you give me one hundred thousand Ettan fans
ee adutha kalathenkilum ee padam erangooo,ഈ അദുഥ കലഥേന്കിലുമ് ഈ പദമ് ഏരന്ഗൂഓ,"In this Adutha Kalathenku also, the word is Erangoo."
sportz കാർ nu ee filmil എന്തൊക്കെയോ role und,സ്പോര്ത്z് കാർ നു ഈ fില്മില് എന്തൊക്കെയോ രോലേ ഉന്ദ്,Sportz car has a role to play in this film.
midun immanuel vs crime thriller,മിദുന് ഇമ്മനുഏല് വ്സ് ച്രിമേ ഥ്രില്ലേര്,Midhun Immanuel vs Chrimey Thriller
ആരും സഞ്ചരിക്കാത്ത വഴികളിലൂടെ നിവിൻ സഞ്ചരിച്ചു തുടങ്ങി,ആരും സഞ്ചരിക്കാത്ത വഴികളിലൂടെ നിവിൻ സഞ്ചരിച്ചു തുടങ്ങി,Nivin started walking on the roads where no one was walking.
pwoli songatto ethra kettittum mathi varunnilla,പ്വോലി സോന്ഗത്തോ ഏഥ്ര കേത്തിത്തുമ് മഥി വരുന്നില്ല,Mathi doesn't come in Povoli song or Ethira Kethe.
ഇതൊക്കെ സ്കൂൾ പിള്ളേരോട് പോയി പറ,ഇതൊക്കെ സ്കൂൾ പിള്ളേരോട് പോയി പറ,Go and tell all these things to the school children.
poyathu poyi ente kayil oru mookuthiyund edukatte,പോയഥു പോയി ഏന്തേ കയില് ഓരു മൂകുഥിയുന്ദ് ഏദുകത്തേ,Poyyathu poi ente kaayil oru mookuthiyundu edukathe
song kollam but dance aru boru,സോന്ഗ് കോല്ലമ് ബുത് ദന്ചേ അരു ബോരു,Song Kollam Booth Danche Aru Boru
amala paul nte aadai cinemayum aayi saamyam thoniyavar undo,അമല പൌല് ന്തേ ആദൈ ചിനേമയുമ് ആയി സാമ്യമ് ഥോനിയവര് ഉന്ദോ,Undo likened to Amala Paul's Aadai movie
njanoru lalettan fan aanu eth dislike adikan thonunilla ikka pwolichu 0 32 mass and stylish,ന്ജനോരു ലലേത്തന് fന് ആനു ഏഥ് ദിസ്ലികേ അദികന് ഥോനുനില്ല ഇക്ക പ്വോലിചു ൦ ൩൨ മസ്സ് അന്ദ് സ്ത്യ്ലിശ്,"Njanoru lalettan fon anu eth dislike adikan thonnilla ikka poolechu 0, iamus and stylish"
kurre ekka duranthangla unlike thudangitt indalla,കുര്രേ ഏക്ക ദുരന്ഥന്ഗ്ല ഉന്ലികേ ഥുദന്ഗിത്ത് ഇന്ദല്ല,Kurre ekka duranthangala unalike thudangith indalla
maranamass trailer ettan powlichu supper kidukki love you laletta,മരനമസ്സ് ത്രൈലേര് ഏത്തന് പോവ്ലിചു സുപ്പേര് കിദുക്കി ലോവേ യോഉ ലലേത്ത,Maranamassu Trailer Ethan Povlichu Supper Kidduki Loave Yuletha
ഞാൻ ഈ പടം കാണില്ല കാരണം ഇതിന്റെ ഡയറക്ടർ അജയ് വാസുദേവ് ആണ്,ഞാൻ ഈ പടം കാണില്ല കാരണം ഇതിന്റെ ഡയറക്ടർ അജയ് വാസുദേവ് ആണ്,I won't watch this film because its director is Ajay Vasudev.
surajettan sound modulation kurach koodi nannakamayirunnu,സുരജേത്തന് സോഉന്ദ് മോദുലതിഓന് കുരച് കൂദി നന്നകമയിരുന്നു,Surjetan Saund Modulatyan had a good time in Kurach Kudi.
yaarupa ne indian no 1 mass actor,യാരുപ നേ ഇന്ദിഅന് നോ ൧ മസ്സ് അച്തോര്,yaarupa ne indian no 1 mass achthor
pirates of the caribean രംഗങ്ങള് കാണുന്നുണ്ടല്ലോ,പിരതേസ് ഓf് ഥേ ചരിബേഅന് രംഗങ്ങള് കാണുന്നുണ്ടല്ലോ,Are you watching Pirate Of Thee Chaaribeyan?
comments vayichu chirichu oru paruvam aayi,ചോമ്മേന്ത്സ് വയിചു ചിരിചു ഓരു പരുവമ് ആയി,Chomantz's drunken laughter turned into a frown.
33k kurugal kanunnylllle dislike duranthngal pyaavam lavanmarude pramughanu youtube views illathente sangadam aavum,൩൩ക് കുരുഗല് കനുന്ന്യ്ല്ല്ല്ലേ ദിസ്ലികേ ദുരന്ഥ്ന്ഗല് പ്യാവമ് ലവന്മരുദേ പ്രമുഘനു യോഉതുബേ വിഏവ്സ് ഇല്ലഥേന്തേ സന്ഗദമ് ആവുമ്,Jathiyak kurugal kanunniyillle dislike duranthangal pyaavam laavanmarude pramughanu yutube vives illahenge samagadam?
മമ്മുക്കയേ കൊണ്ടേ കഴിയു ഇദ്ദേഹം ഒരു മഹാ വിസ് മമയ മാണ് മാറി മറിയുന്ന വേഷ ഭാവങ്ങൾ,മമ്മുക്കയേ കൊണ്ടേ കഴിയു ഇദ്ദേഹം ഒരു മഹാ വിസ് മമയ മാണ് മാറി മറിയുന്ന വേഷ ഭാവങ്ങൾ,Mammootty is the only one who can pull off the role of a maverick.
കുറച്ചു സിനിമകൾ പക്ഷെ അഭിനയിക്കാൻ അറിഞ്ഞൂടാ ജീവിച്ചു കാണിക്കാനേ അറിയൂ അബിക്ക നിങ്ങൾ ഭാഗ്യം ചെയ്ത ഉപ്പയ,കുറച്ചു സിനിമകൾ പക്ഷെ അഭിനയിക്കാൻ അറിഞ്ഞൂടാ ജീവിച്ചു കാണിക്കാനേ അറിയൂ അബിക്ക നിങ്ങൾ ഭാഗ്യം ചെയ്ത ഉപ്പയ,"Few films but you don't know how to act, you just know how to live."
o ikka polichu 68am vayasillum mass lookka,ഓ ഇക്ക പോലിചു ൬൮അമ് വയസില്ലുമ് മസ്സ് ലൂക്ക,Ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
അടുത്തുറങ്ങിയ പല തമിഴ് തറില്ലറുകളുടെ ഒരു ഛായ തോന്നിയോ awesome trailer let it be a game changer,അടുത്തുറങ്ങിയ പല തമിഴ് തറില്ലറുകളുടെ ഒരു ഛായ തോന്നിയോ അവേസോമേ ത്രൈലേര് ലേത് ഇത് ബേ അ ഗമേ ചന്ഗേര്,"I felt like a shadow of many Tamil thrillers that have come close, like Awezome Thriller Let It Be A Game Changer."
mamangam like syeraa narasimha reddy comment,മമന്ഗമ് ലികേ സ്യേരാ നരസിമ്ഹ രേദ്ദ്യ് ചോമ്മേന്ത്,Mamangam likhe syera narasimha reddy chomment
ഈ പാട്ട് ജോബ് പാടുന്നത് കേൾക്കാൻ ഒരു ആഗ്രഹം,ഈ പാട്ട് ജോബ് പാടുന്നത് കേൾക്കാൻ ഒരു ആഗ്രഹം,One wish to hear Job sing this song
aww enthokya ee kaatikootunnathu poottile trailer aayipoyi,അവ്വ് ഏന്ഥോക്യ ഈ കാതികൂതുന്നഥു പൂത്തിലേ ത്രൈലേര് ആയിപോയി,Avv Enthokeya Ee Kathikuthunnathu Poothathilai became a thriller.
ഈ ട്രെയിലർ ബിഗ് ബ്രദർ എഡിറ്റ് ചെയ്ത മരങോടനെ ഒന്നു കാണിച്ചു കൊടുക്കു,ഈ ട്രെയിലർ ബിഗ് ബ്രദർ എഡിറ്റ് ചെയ്ത മരങോടനെ ഒന്നു കാണിച്ചു കൊടുക്കു,"Show me this trailer for Marangodan, edited by Big Brother."
സന്തോഷ് ബ്രഹ്മി കഴിച്ചോളൂ എവിടെയാ വച്ചതെന്ന് അപ്പോൾ കിട്ടും,സന്തോഷ് ബ്രഹ്മി കഴിച്ചോളൂ എവിടെയാ വച്ചതെന്ന് അപ്പോൾ കിട്ടും,eat santhosh brahmi and i'll know where you put it
oru songil tane itrayum comedy apo onam ittymani kond poyi enu paranjekk,ഓരു സോന്ഗില് തനേ ഇത്രയുമ് ചോമേദ്യ് അപോ ഓനമ് ഇത്ത്യ്മനി കോന്ദ് പോയി ഏനു പരന്ജേക്ക്,Oru song ke liye tane itraum chomedeye apo onnum ittymani kondh poi enu paranjeke.
orru addar movie ayyyrikkum ithuvarre kannatha orru ayytam,ഓര്രു അദ്ദര് മോവിഏ അയ്യ്യ്രിക്കുമ് ഇഥുവര്രേ കന്നഥ ഓര്രു അയ്യ്തമ്,Orru Addar Moviye Aayirikkum Ithuvare Kannatha Orru Aayitham
trailer kidu kidu pakshe movie athippol kandariyaam,ത്രൈലേര് കിദു കിദു പക്ശേ മോവിഏ അഥിപ്പോല് കന്ദരിയാമ്,Triller Kidu Kidu Pakshe Moviye Athipol Kandariyam
ഞങ്ങടെ സ്വാസൂന്റെ ബിഗ് സ് ക്രീനിലേക്കുള്ള ഒരു പൊൻതൂവലാവട്ടെ pmj all the best മുത്തേ ആകാംഷയോടെ കാത്തിരിക്കുന്നു swasuuuuswasuuu,ഞങ്ങടെ സ്വാസൂന്റെ ബിഗ് സ് ക്രീനിലേക്കുള്ള ഒരു പൊൻതൂവലാവട്ടെ പ്മ്ജ് അല്ല് ഥേ ബേസ്ത് മുത്തേ ആകാംഷയോടെ കാത്തിരിക്കുന്നു സ്വസൂഊസ്വസൂഉ,We are eagerly waiting for a glimpse of our Swasoon on the big screen.
idhanu njanga paranja nadan ivananu nadan mammootty,ഇധനു ന്ജന്ഗ പരന്ജ നദന് ഇവനനു നദന് മമ്മൂത്ത്യ്,Idhanu Njanga Paranja Nadhan Ivanu Nadhan Mammootty
എന്നാ പാടാഡാ ഉവ്വേ ഇങ്ങൾ അഭിനയിക്കുക തന്നെ ആയിരുന്നോ ഇത് സിനിമ തന്നെ ആണോ ശെരിക്കും പറഞ്ഞാൽ 100രൂപക്ക് ടിക്കറ്റ് എടുത്താൽ നാല് ചേട്ടന്മാരുടെ ജീവിതം കാണാം,എന്നാ പാടാഡാ ഉവ്വേ ഇങ്ങൾ അഭിനയിക്കുക തന്നെ ആയിരുന്നോ ഇത് സിനിമ തന്നെ ആണോ ശെരിക്കും പറഞ്ഞാൽ ൧൦൦രൂപക്ക് ടിക്കറ്റ് എടുത്താൽ നാല് ചേട്ടന്മാരുടെ ജീവിതം കാണാം,"Is it a movie, or is it a movie? If you buy a ticket for 100 rupees, you will get to see the life of four brothers."
16 k mammooty fans thayolikal dislike pooranmar,൧൬ ക് മമ്മൂത്യ് fന്സ് ഥയോലികല് ദിസ്ലികേ പൂരന്മര്,Mammooty's Theolical Dislike Pooranmaar in the month of September
